,Unnamed: 0,name,date,stars,text,boaDate,boaText,source,product
0,0,scott o,11/21/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">don't you set up an account with Bank of America they make it almost impossible to close that account. tell you to call him to close your accounts however you sit on hold for an hour or two and then when you do finally reach customer service person they make some notes on your account and nothing happens from there. they will absolutely not give you a email contact even if you are a online banking customer only meaning you've never even stepped foot in a branch or called. that's why I think they call it online banking. they send you in circles and chasing your tail trying to close your account, I called in sat on hold for hours talked To a customer service rep who was putting notes on my account to close it and stated that it would be taken care of. a week later I get a letter in the mail stating my account has a negative balance and I have to pay off this monthly fees from them that went negative. that's because I was assuming and shame on me but that my account has been closed her there customer service guy. so I called again sat on hold for hours, trying to find a email address of any kind could not find one, only thing I could find was there abuse email address and that's for fraud and phishing. so I sent them an email stating I need my account closed I have not been able to get ahold of anyone else please send me to the right person or right Department, nothing no response from anybody. I went on their social media and left sent them a message direct private message stating close my account immediately, they responded with this is sensitive information. that was a didn't give me any contact info didn't give me what the next steps were just sensitive information. then I finally set up an appointment to go meet with one of their customer service people I don't know what they're called at the branch, I confirm to this meeting but never showed up and in my notes for them to get prepared for what I was coming in for said close my accounts immediately, they still did not close my account and kept calling me and calling me to try and setup a time to come in and meet them. finally received an email from the lady I was supposed to meet with and she was complaining about me not showing up I stated I have contact you guys several times to close my account you have not I'm now copying in the BBB cuz this is unacceptable practices. my account went negative once already waiting on your team to close it nothing ever happened so now I'm escalating it. I paid more money out of pockets to keep this account open that I put into this account</div>, <div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">Thank you for sharing your experience. At Bank of America, we're focused on providing exceptional client experience to our customers. Your feedback helps us continually work toward that goal.</div>]",11/27/2020,"Thank you for sharing your experience. At Bank of America, we're focused on providing exceptional client experience to our customers. Your feedback helps us continually work toward that goal.",bbb.org,online banking
1,1,Samy  A,11/17/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">Worst bank ever. I been a customer with Bank of America over 24 years. My family and I we have at  leas 7 accounts and numbers of Credit Cards. In the last month Bank of America closed my two credit card without letting me know, because of that my FICO scores dropped 100 points. Both of my two credit cards the bank closed have Zero balance, and always paid in full. Bank of America provided me the reason for closing my accounts due to ""Inactivity on the accounts"". I believe during this world wide health issues with "" COVID-19"" and nationwide no one wants to go and spends anythings and especially using Bank of America credit Cards with 15.5% APR.
ZERO loyalty the bank have for their customer. 

Personal Advise: DO NOT OPEN ACCOUNT OR CREDIT CARD LINE WITH THIS BANK. IF YOU PLAN TO BUY A HOME OR A CAR. </div>]",,,bbb.org,credit card
2,2,Sharmell B,11/15/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">Bank of America in McDonough ga 30253

Has some employees commit fraudulent activities to my account. So the next person can use my information. I only have a business account. Please check your cameras and phone conversations. The last conversation I had was in Atlanta area. I personally used banker phone who was completely rude and unprofessional. Stop letting your employees have access to my business account. I already have fraud alert with rentacar. I'm am the only user on my account I want the notation back on my account and stay on my account Georgia driver licenses, VA card,Georgia  Gun license, military ID always. Please make every Bank of America check </div>]",,,bbb.org,
3,3,Pam M,11/12/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">They have absolutely HORRIBE CUSTOMER SERVICE!!   I had my Business Acct hacked 51 times by a company from Hong Kong.....BofA NEVER notified me, but I saw what happened &amp; called right away.  They sent me and email saying that transactions for this company were cancelled yet on Tuesday they let 205 Transactions go thru &amp; Cleared our account of $6,378.84 AND charged us 6 NSF Fees of $210.00....I called and they had me on hold for 35 minutes to talk to a supervisor AGAIN who told me basically Oh Well they can't do anything till NOVEMBER 23RD, 2020....ARE YOU KIDDING ME!!  22 Years with them as LOYAL Business Customers and this is how we are treated!!!  

I have filed a complaint but need to consult with an attorney, does anyone know of a good attorney that can help us.   They made the error and we are paying for it!!   And we haven't' been able to do our business as we cannot buy material.   We have rent, bills and payroll and we have NOTHING!!    I am just beyond angry right now for lack of taking care of your customers!! </div>]",,,bbb.org,
4,4,Gulshan G,11/04/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">Have a checking account with direct deposit for 5 years and 4 credit cards. Total CL ***** and balance less than **.Last three months 2 cards were closed by the bank. They will not consider your tenure or the fact that they call you a ""Preferred"" customer when taking decisions based on Credit. They will close your card account and give you offers to pre-qualify for auto, home and savings account.They will cite different reasons - I have never even heard of.They closed my account since some other creditor reported high utilization of my card with them to BOA and BOA card has zero balance and I have pristine credit.I put the charges on a single card due to a statement date and couldn't get to reducing the balance in time...Does that give them the right to close my zero balance card - I though they should look at the consumer credit score and make these decisions - Worst bank ever - They have lost my business for sure for the rest of my life</div>]",,,bbb.org,savings
5,5,Kathryn  G,11/02/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">Worst bank ever. They do not follow through on their zero liability for fraudulent charges promise. I would bank anywhere but here.</div>]",,,bbb.org,
6,6,CATHERINE H,10/27/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">Terrible customer service, dishonest and looking to purposefully trip you up so they can collect extra fees.  DO NOT USE BANK OF AMERICA, YOU WILL BE SORRY, THEY WILL SCREW YOU OVER. </div>, <div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">Thank you for sharing your experience. At Bank of America, we're focused on providing exceptional client experience to our customers. Your feedback helps us continually work toward that goal.</div>]",10/30/2020,"Thank you for sharing your experience. At Bank of America, we're focused on providing exceptional client experience to our customers. Your feedback helps us continually work toward that goal.",bbb.org,
7,7,Ashur K,10/15/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">On June 8th, 2020 there were two unauthorized charges on my Bank of America account. One charge was for $***** from ********, a company that doesn't even service my area, and the other was from ******** for a restaurant named Buona, where I've never eaten in my life, for $*****. I called the company within a couple of days, and by June 9th, there was a credit on my account for these two charges and a fraud investigation had been started. My card was canceled and a new card was sent out to me. On July 8th, 2020 the credits were reversed. The company sent me a letter telling me that the orders from these services came from my device and that they match my previous account activity. I reached out to ******** who confirmed this was fraud, and they refunded me $*****. I also contacted ******** who confirmed that the transaction was fraud, but all they need is for BOA to reach out to them notifying them that a fraud claim was submitted. The bank doesn't want to contact the vendor for some reason, and therefore I'm stuck with the amount of $*****. I am still in possession of the card that was used, so I was not negligent in any way. Somehow these criminals got a hold of my card, and I don't want to finance their food or lifestyle. Bank of America needs to make this right. They have a $0 liability guarantee which should be applied in this scenario. I get an e-mail from Vernon White who never answers his phone or returns my calls to confirm my complaint with the CFPB. This avoidance is totally unethical and a way for BOA to work around the CFPB. At this point this is impacting my credit score, and it's not okay. I contacted the fraud department and asked to speak with a manager, and they said someone would call me, and it has almost been a week and no phone call. AVOID BOA! Tell your friends and family to avoid them at all costs. They are thieves.</div>]",,,bbb.org,
8,8,Abhijeeth,10/15/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">I have had one of the worst customer service experience with Bank of America Mortgage service. It has been a painful past couple months in trying to reach out to BoA mortgage customer service department to retrieve the additional monthly payment that was deducted via auto-pay from my BoA checking account after i had refinanced with a new lender. Its been approx 3 months of trying to reach BoA customer service and getting various answers regarding where and how the funds are being returned and still no clear answer. I have refinanced with other lenders and had much better experience with them in such scenarios.</div>]",,,bbb.org,mortgage
9,9,Shannon L,10/15/2020,1,"[<div class=""MuiTypography-root Text-sc-12c66pm-0 fgbKlJ MuiTypography-body2"">I have been trying for 3 months now to resolve an issue with a HELOC. An issue that did not happen on my end, but when BOA's systems changed over. They reported me to the credit agencies (my first EVER) Destroyed me credit score. The one person who actually DID spend time with me (almost 3 months ago) couldn't figure it out. 

Fast forward 3 months, I cannot access my account - I can't even pay off because nobody can give me an accurate amount. Every time I log in it gives me a different small amount like $.38, or $1.00.

I have sent messages through the website with no answer, I have called every customer service number I can find. I have waited for close to 2hs each time I call. I eventually get plugged into a voice mailbox that is full, then the call is dropped. I have even called the local branches and they told me 'They can't help me.""

There is literally nobody that will help! I am frustrated beyond explanation. I am so disappointed that I even started banking with this bank. 

As I type this I have been on hold for 43 minutes. Shame on you BOA!!! You will NEVER get business from me again!</div>]",,,bbb.org,
