,name,date,stars,text,boaDate,boaText,source
348,Gabriela ,08/08/2020,4,"I had many different types of accounts with the Bank of America since opening my first account in year 2008. To date, all accounts operate and have always operated exactly as advertised. Never seen their website down. Never had any problems with any transactions (plastic card, electronic transfers, checks, etc.). BoA is quick to resolve fraudulent charges. Staff members across multiple branches I visited in those years have been welcoming and professional. I believe I am a tough rater, but I cannot think of anything else to even wish for. Through those years of 100% proven reliability I have gained a great confidence in the bank.",,,consumeraffairs.com
349,JD ,08/07/2020,5,"I have banked with Bank of America (BoA) ever since they were NCNB. I’ve seen the highs and the lows, as they say, with BoA development and my own financial challenges. The one thing I will say is that I’ve always been able to go to a branch, or call a number and have an issue clarified, explained or resolved, usually in my favor. Currently, I am a “Platinum” member customer (never thought I’d see the day), so I enjoy a number of perks. I like that I have BoA AND Merrill Lynch at my fingertips and easily accessible on the BoA app. I study the operations of other financial institutions, and while there’s some innovative ideas they present, such as Capital One’s “cafe” set up, I’ve seen those innovative ideas come and go (Washington National [Wachovia] tried it back in the 2000’s). Slow and steady wins it, for me. That’s what BoA does for me.",,,consumeraffairs.com
350,Eileen ,08/03/2020,4,My only problem with Bank of America is they don't have individual health savings account. My company does not offer this as a benefit but my company's health insurance does qualify under the IRS rules as a high deductible health plan. I would like to open one for myself but BOA does not offer it so I need to go elsewhere to open this type of account; which is a pain since all my banking accounts are with Bank of America.,,,consumeraffairs.com
351,Kathleen ,07/27/2020,5,"Reps are always courteous, knowledgeable, and professional, whenever I call Bank of America, the wait time is minimal and the reps are very well trained and know the answers to my questions. I have been a customer of. Bank of America for over thirty five years. During the time in which I have had an account, the bank’s name has changed more times than I can remember. During all the changes that the bank has gone through, their customer service reps have consistently remained customer oriented.",,,consumeraffairs.com
352,John ,06/14/2020,5,"I had an issue while opening an Online Checking and Savings Account, whereas I could have just disregarded and went to another bank. Though I sought to resolve this by requesting help through B.B.B. Ms. Nancy ** was extremely proficient and professional and went above and beyond to get my accounts opened. Ms. Nicole ** at Wheeler Road Branch in Augusta, Georgia assisted me in a timely, kind, safe and welcoming way! It's important to recognize such service!",,,consumeraffairs.com
353,Satya ,11/27/2020,1,"Hi, I ordered checks in Bank of America. 27$ and free shipping. The next day it is showing as shipped. They changed the the status next day and never shipped. They said it is shipped and it will take three weeks to deliver. If they already shipped then why three weeks within US. (They never send if you order without tracker.) After a month. I ordered again with tracker (27$ + 11$) then they sent and got it in a week. I end up paying double the amount. It's a scam of checks without tracker.",,,consumeraffairs.com
354,Jeff ,11/25/2020,1,I put in a claim for a clear fraud attempt on my account which had every penny I owned stolen from my account. At first they seemed interested in helping me but after 2 weeks when things started to get complicated they just decided to close my account with the explanation of the have the right to do that with no explanation given. Their people were very unprofessional and just flat out rude. In all my years in business I have never been treated with such disrespect from a business. They should be ashamed of themselves and all the people they represent. The leadership group does not have any clue how poorly they treat their customers and I have reported them for bad business practices.,,,consumeraffairs.com
355,Jamie ,11/10/2020,1,I had a business account with Bank of America for the past 15 year. Now with COVID taking a hit with my business income I am unable to maintain the required amount in the account to avoid their account fees. I called customer service and they don't care. I told them that I will need to find another bank that does not charge fees. They said go ahead. I will now be closing all my accounts with them and moving on to another bank. I think it's so sad for Bank of America to put a $16 fee over a long lasting customer that has been hit with large losses from COVID.,,,consumeraffairs.com
356,Patricia ,11/04/2020,1,"I called to ask if they could reverse a $35 overdraft fee, that was added because of an $11 charge that came out before my money got there and they wouldn't do it because I had one taken off in August. I mean during these times with Covid and being out of work. They couldn't even take this off for me and I have been a good customer for 10 years. I am so upset. It just comes at a bad time I have no money to make it current so they could charge me another fee. I think it's time to consider going to another bank that has a better customer service.",,,consumeraffairs.com
357,Amanda ,10/25/2020,5,"Even though it did take me a while to get what I needed from the automated voice operator, the call wait time was very short. When I talked to an employee about interview questions for my school assignment, she was very supportive and kind. I typically have positive interactions with BOA. The bank is able to support individuals to start out and build a future for themselves. They are fair in their business practices.",,,consumeraffairs.com
