,name,date,stars,text,boaDate,boaText,source
0, alicefournier,04/24/2020,1,"The Worst Experience I opened a bank account online and I put money on it. 5 days after the account was locked. The bank didn't even notice me of anything. I called BA, a representative told me that I had to go to an agency during the pandemic to show my ID. When I got there a representative told me that my account was actually canceled and they issued me a check with my funds, that I will receive in about 5 business days. It s not what the representative told me on the phone before. I noticed that I also registered '' my new bank account'' to receive the money from the IRS. I said that to the representative at the bank, he really didn't care. He just told me that I could open a new bank account with them and let me understood that otherwise, I could leave right away. As he was impolite and rude, I said no and I left. As a result, all my money was on hold during the pandemic, just when I lost my job. About 6 business days after, the check was not in my mailbox. I called BA, one more time, to talk to a supervisor. I explained to her all the situation, especially that I needed my money asap. She just said '' you have to wait it is our process''. The check will be sent back to us in case there was a problem with the post office. She didn't even say sorry neither tried to find any solutions. She was like a robot reading some lines. I noticed, that I mentioned to all the employees that I lost my job during the pandemic, but it didn't matter to them. Today, I have to wait to receive my money, I can't pay my insurance and my rent this month. I don't even know if I will get my money one day It is the worst experience I ever had with a bank in the US. Usually, representatives are professional and try to find solutions.",,,depositaccounts.com
1, RonF,03/19/2020,1,Bank Of America Is A RIPOFF Bank of America is the worst bank in the world. They have horrible customer service and they are charlatans who scheme to get every nickel possible by way of bogus fees and penalties. Take my advice and never step foot into ANY BOA as long as you live.,,,depositaccounts.com
2, sdubey,02/28/2020,1,"DO NOT REFINANCE With BOA We were referred to a BOA to refinance our mortgage through a family member and it was a complete nightmare! The terms of the loan kept changing and the underwriting requirements so painful we finally decided to switch to a different lender, Golden One Credit Union. We paid $900 for an appraisal from BOA and requested they transfer it to Golden One so we would not have to pay for another one. However, BOA refused to do so despite numerous requests, citing regulations. Now we must shell out another $500 for a new appraisal. I strongly advise against every obtaining a new mortgage or refinancing with BOA. I live in Sunnyvale, CA",,,depositaccounts.com
3, Corry_El,01/09/2020,2,"GOOD REWARDS, TERRIBLE INTEREST This is mainly a deposit rates site and Bank of America's deposit rates consistently terrible. But their Preferred Rewards program (in conjunction with their affiliate Merrill) is excellent, check it out to see if you qualify. We keep a few $100 in a BOA checking account (they waive the minimum balance under Preferred Rewards) and use their credit cards for up to 5.25% cash back. Our main checking account is at Bogota Savings (1.75%, minimal hoops). We would never dream of having a savings account or CD at BOA. Why would anyone?",,,depositaccounts.com
4, Mbpacific,11/02/2019,1,"Bank Of America Online Billpay SUCKS On September 30, an online bill pay was scheduled for my daughter’s preschool. Unfortunately, the payment was sent to the wrong address. I contacted Bank of America, and changed the address & asked them to reissue another check. Sadly, the change was never updated and an additional check was issued to another wrong address. After communicating with the preschool, two weeks later, the checks had still not arrived. Another check was issued, this time with the correct address, but it was expected to arrive a month after the payment due date. I requested another check be mailed using overnight service & a refund of a $50 late fee was issued by the bank, since the preschool was no longer patiently waiting for their payment. The check arrived the following day, so I thought my concerns with Bank of America were resolved. Unfortunately, a week later, my online bill pay account experienced some dramatic failures. I have alerts set up on my account, to be sent to the same email address that has been active on my account since I opened it 15 years ago. The alerts are for when money is transferred into my account & when my account is overdrawn. I did not receive any of those alerts to my email. This is the first time this has ever happened. I was charged $70 for overdrawn items. After contacting Bank of America and speaking with two supervisors, they were only willing to refund one overdrawn fee, despite making false statements about the accuracy of my email address and the accuracy of the alerts set up on the accounts. They claimed that alerts that had been set up on my account for many years were not active, despite receiving one through my mobile app the morning of the dispute. I’m concerned that the overall accuracy of my account has been compromised. There unwillingness to refund the charges, when obviously strange and unaccounted for discrepancies happened, is not only disappointing and upsetting, but the lack of accountability from Bank of America is shameful. I was charged late fees for discrepancies solely related to bank errors. They claim that since the bills were paid in full, with no late fees (this time) that they were not willing to issue any further refunds. I have been a customer for 15 years, never had any issues as dramatic and upsetting as this & the lack of customer support is disgusting. I hope my experience can be used as a learning tool for other customers. TAKE YOUR MONEY TO A DIFFERENT BANK!",,,depositaccounts.com
5, JaneInVegas,07/04/2019,4,"Good Bank, Terrible Interest On Basic Savings I've had my account with them since 2009 with no problems at all. Their basic savings account pays one penny per month in interest, and you have to maintain it at $500 per month, or you get charged a fee. I kept BofA for my basic checking, and switched to Vio for savings. It seems to be a really good fit for me so far.",,,depositaccounts.com
6, Damianjd1992,07/02/2019,1,"Bank Of America Worst Bank Why would anyone waste their money opening up a checking account with Bank of America when Capital One is free and even pays you interest. I opened up an account only because of the cashback bonus in which I met all the qualifications and they decided not to pay I spent hours on the phone and in the bank on this issue and it was not resolved correctly, this is a horrible Bank do not waste your time and money.",,,depositaccounts.com
7, Imaguil,06/28/2019,1,"BANK OF AMERICA CLOSED ACCOUNTS I never like bank of America, but when I went back to work for a old employer I decided to open one up online I then got approved, 5days before I was to receive my 1st check they closed the account and didn't explain why ,when I called to ask if there any way they can re open it and I'll pay the fee just to get my money they said no they couldn't do that now I have to wait 7days and other 10 from my employer to issue a check my Bill's will be late and I'm be late in my rent due to bank of America this is a worse bank to bank with no wonder they are high risk",,,depositaccounts.com
8, Joeb,05/23/2019,1,"Wrongful Banking To Elderly People Bank of America shut Joe Woodruff Bank account down after 28 years without any warning.. They close it the day his S. S. I. Came. Bank of America stated that they mailed it on may 5,2019 he still hasn't received it. They sent it to the wrong address and they had the right address. Banks of America also stated that if they stop payment on it it will be 91days before he will receive the new print out check. Bank of America is rude and down right disrespectful to the elderly people. What ever you do don't bank with BANK OF AMERICA AT ALL.",,,depositaccounts.com
9, Unsatisfied11,05/19/2019,1,"Restricted Card, Hung Up On Hold So, my chip got damaged as it usually does. I order a new card, and while I wait I’m forced to withdraw cash for things. Well, BoA thinks that’s odd and puts a hold on my card. No worries, a text comes through letting me confirm I am indeed me. Only, the holds still there. So i call, and the first specialist after a fifteen minute wait can’t do anything and transfers me to a department that can. Okay. After another ten minute wait, the phone just hangs up. They hung up on me, on hold, stranded, unable to pay for anything like gas, etc etc. I called back only I’ve lost my spot in the queue.",,,depositaccounts.com
