,name,date,rating,text,product,source,gender,incident_month,incident_day,geod,count,weekday
0,Jason Dome,2020-12-08,1,"Don't do it!! They will randomly close your account for absolutely no reason then give you the run around until you eventually just give up and accept it! They will then hold your money from you until you receive a cashiers check a week later.. they've trained their minions to give you the same robotic answer over and over and over when you ask for answers.. things like ""no further information at this time"" or ""it was a business decision on the end of bank of america"" its ridiculous.. im now stuck trying to run a business with no access to any money for the next 5-7 business days and bank of america is giving me no answers.. and apparently many of my entrepreneur friends have had the same issue!! Dont screw yourself!! Go somewhere else!!",Bank of America Checking,wallethub.com,male,12,8,1,1,1
1,Pov,2020-12-07,5,"I opened this account online I don’t need to go to the bank I get high cash withdrawal and easy access to the online bank I like this bank. It's close to my house, people are very friendly at the bank helping me get things done in short time",Bank of America Credit Cards,wallethub.com,male,12,7,2,1,0
2,amanda,2020-12-07,5,"Good card, always pay my balance when due and have accepted charges when I've been over my initial credit limit. Easy bill pay and easy to use the app",Bank of America Credit Cards,wallethub.com,female,12,7,3,1,0
3,clotildevil,2020-12-07,1,"Honestly, if you're looking for a bank to stand by your side, be understanding and care about you, your family or even hardship. Bank of America is NOT IT! When the pandemic (Covid-19) hit. Bank of America was there to only tell me, that this is a business (Erica Solution Supervisor) she went on to tell me that they have to protect themselves. I was hurt, blown away and lost for words. I have been a customer of Bank of America, for over 13 years. Also, to be advised that I would have to run my credit again, in order for them to assist me. I couldn't believe it! All I can say is, is that I'm disappointed in how I was treated! Loyalty means nothing to Bank of America, when times are hard. You are only a Valued Customer. When you're doing well, besides that, you mean nothing! Sad to say, however it's the truth.",Bank of America Credit Cards,wallethub.com,,12,7,4,1,0
4,Karen Holly,2020-12-07,1,Customer service experience is time consuming and the antithesis of personalized service. Spent hours trying to get fees returned when mother was hospitalized and not able to keep up with her checking. So many other good banks to chose from that have personalized service and where your money will be secure. Will be choosing one of those institutions soon.,Bank of America Checking,wallethub.com,female,12,7,5,1,0
5,Jacquelyn Schreck,2020-12-07,3,"I love Bank of America because you can choose what you want your 3% cashback reward on from a bunch of different options, which is the best thing on this planet. HOWEVER, I am not convinced ANY real people work there. Calling and trying to talk to a human is nearly impossible and extremely frustrating. If you ask for a human, it says no. Then after going a couple of rounds with the AI, it gives up and sends you to a representative, which is great, but be warned, the AI will be talking in your ear the ENTIRE time. Every few seconds it tries to get you to hang up with something like ""for more information on [insert topic here] press 1."" I understand they're trying to improve efficiency and productivity or whatever, but seriously? Annoying your customers is not the way to go.",Bank of America Credit Cards,wallethub.com,female,12,7,6,1,0
6,Juan,2020-12-06,4,The level of service you provide is completely within your control. That’s why you should always be cooking up ways to wow your customers.,Bank of America Credit Cards,wallethub.com,male,12,6,7,1,6
7,Jeff,2020-12-05,5,Bank of America MasterCard is an outstanding credit card company that has a competitive interest rate. They have a good team of phone representatives that truly care about their customers.,Bank of America Credit Cards,wallethub.com,male,12,5,8,1,5
8,wolftaz2002,2020-12-04,1,"Customer service is horrible when I called the lady just didn’t care, acted like she didn’t like her job I so can’t wait to close my account because she wasn’t helpful or anything on a company who took my money from my card that I didn’t authorize so Bank of America you are the worst!!!",Bank of America Prepaid Cards,wallethub.com,,12,4,9,1,4
9,Rafael Echavarria,2020-12-04,1,Bank Of America just declined my credit card application for an Amtrak Rewards Mastercard. My Credit Score is 773 which is considered very good. and my credit utilization is less than 10% with only 3 Credit cards to my name. This is the second time. DO NOT WASTE YOUR TIME Applying. I will wait and see the reason in 7 days. But I will be following up with a letter to the BBB and a possible credit discrimination lawsuit.,Bank of America Credit Cards,wallethub.com,male,12,4,10,1,4
10,Robert Saldana,2012-07-30,4,"I've been with Bank of America most of my adult life. When I first started working, I set up an account first with a local bank but was not happy with their online access. So, I canceled my account with them and set up at BoA. Every time I have had a problem, they have resolved it quickly. When I have asked for an allowance for an over draw, they have worked with me on the issue. It has always been a delight banking with them. They talk to me respectfully and even just talk without just trying to get me off the phone or out of their face as quick as possible. I've had a decent conversation with them as the computers processed my request. They are always willing to work with me no matter the issue. All in all, I don't think I'll ever leave them.",Bank of America Checking,wallethub.com,male,7,30,11,1,0
11,hari sharma,2012-07-30,3,I had this bank for 2 years before I decided to go to someone else. It seems like after 2005 they started taking their customers for granted. I went to few branches and their customer service was awful. One time I had few charges from them and I wanted to clarify it but they couldn't figure out how I got the charges nor would they return them. One time I had a scammer who was taking money from my account and I asked them to trace it but they couldn't even do that form. At that moment I got fed up and decided to change the bank. It used to be great bank but somehow it has changed.,Bank of America Checking,wallethub.com,male,7,30,12,1,0
12,jennifer samuels,2012-07-30,4,"Took out a car loan with them about 4 years ago. I am currently in my last year of payments. The application process took about 2 hours and I had the cash for the car within 1 business day. Making the payments and keeping track of the account is very simple, as the online website is amazing. I don't have other accounts with this bank, but speaking solely from getting a car loan the process was very quick and easy and the maintenance of the account has been great. Customer service has also always been able to answer any and all questions I've had regarding the account.",Bank of America Car Loans,wallethub.com,female,7,30,13,1,0
13,Theresa Marie,2012-07-26,5,"I like the Bank of America Visa because it's easy to use and gives me good rewards. I earn one point for each dollar I spend and can trade the points in for cash or prizes. I also like the Bank of America Visa credit card because you can personalize them. For example, my credit card has a picture of Hello Kitty on it. The Bank of America Visa credit card is my first credit card ever. I have had it for about four years now and I would not consider changing to a different card. I can use it anywhere and it is very convenient.",Bank of America Credit Cards,wallethub.com,female,7,26,14,1,3
